pl_hostname,pl_letter,pl_disc,ra,dec,pl_trandep,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranflag,pl_trandur,pl_pnum,pl_k2flag,pl_kepflag,pl_facility,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orblper,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,st_teff,st_tefferr1,st_tefferr2,st_optmag,st_j,st_h,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_eqt,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_eccen,pl_eccenerr1,pl_eccenerr2,pl_density,pl_rade,pl_bmasse
Kepler-195,b,2014,288.120962,47.966667,0.000568641865687835,2455004.1712,0.00133,-0.00133,1,0.1313,2,0,1,Kepler,,,,,,,,0.78,0.28,-0.28,5329.0,200.0,-200.0,14.812999999999999,13.530999999999999,13.055,0.077,,,0.18100000000000002,0.066,-0.066,0.015,,,817.8637450055056,8.307872,2e-05,-2e-05,,,,3.1371379595750293,2.0288255122999015,4.767426098920121
Kepler-195,c,2014,288.120962,47.966667,0.0003305520493928492,2454986.8171200003,0.00551,-0.00551,1,0.1627,2,0,1,Kepler,,,,,,,,0.78,0.28,-0.28,5329.0,200.0,-200.0,14.812999999999999,13.530999999999999,13.055,0.197,,,0.138,0.051,-0.051,0.00951,,,511.3205016503597,34.096863,0.000371,-0.000371,,,,4.487674416340831,1.546839340869538,3.022548146715357
Kepler-196,b,2014,284.968519,42.079205,0.0005016254057683963,2455006.2181700002,0.0019,-0.0019,1,0.1256,2,0,1,Kepler,,,,,,,,0.78,0.06,-0.06,5128.0,100.0,-100.0,14.157,12.752,12.3,0.138,,,0.17,0.013000000000000001,-0.013000000000000001,0.0134,,,587.8805238270854,20.739886,6.6e-05,-6.6e-05,,,,3.382486855183508,1.905526724259576,4.258900648368642
Kepler-197,b,2014,295.22643500000004,50.559006,6.971361858096911e-05,2455004.4728200003,0.00221,-0.00221,1,0.1534,4,0,1,Kepler,,,,,,,,1.12,0.03,-0.03,6004.0,102.0,-102.0,11.811,10.814,10.577,0.06,,,0.091,0.004,-0.004,0.00328,,,1250.8561481984943,5.599308,2.3e-05,-2.3e-05,0.02,0.23,-0.02,5.397936235822836,1.0200172465154198,1.0424771736305334
Kepler-197,c,2014,295.22643500000004,50.559006,0.0001018638793418339,2455007.06421,0.0025399999999999997,-0.0025399999999999997,1,0.1771,4,0,1,Kepler,,,,,,,,1.12,0.03,-0.03,6004.0,102.0,-102.0,11.811,10.814,10.577,0.09,,,0.11,0.004,-0.004,0.017,0.01,-0.009,1021.3197682364956,10.349695,4.5e-05,-4.5e-05,0.08,0.21,-0.08,15.83977284679804,1.2329878804032548,5.403082912109472
Kepler-197,d,2014,295.22643500000004,50.559006,0.00010002022731077096,2455012.46886,0.00328,-0.00328,1,0.2219,4,0,1,Kepler,,,,,,,,1.12,0.03,-0.03,6004.0,102.0,-102.0,11.811,10.814,10.577,0.119,,,0.109,0.009000000000000001,-0.009000000000000001,0.00624,,,888.1974296441874,15.677563,9.6e-05,-9.6e-05,0.03,0.2,-0.03,5.97562284854172,1.2217788996723162,1.9832492571507707
Kepler-197,e,2014,295.22643500000004,50.559006,5.523379441006381e-05,2454987.41342,0.009340000000000001,-0.009340000000000001,1,0.2624,4,0,1,Kepler,,,,,,,,1.12,0.03,-0.03,6004.0,102.0,-102.0,11.811,10.814,10.577,0.164,,,0.081,0.004,-0.004,0.00218,,,756.5908220478647,25.209715,0.000387,-0.000387,0.38,0.25,-0.17,5.087208296910415,0.9079274392060331,0.6928659263763911
Kepler-198,c,2014,290.67312999999996,38.691010999999996,0.000578442961731084,2455002.5400099996,0.00247,-0.00247,1,0.1528,3,0,1,Kepler,,,,,,,,0.94,0.14,-0.14,5574.0,100.0,-100.0,13.597000000000001,12.421,12.067,0.259,,,0.22,0.033,-0.033,0.021,,,512.0522831957435,49.567416,0.00022,-0.00022,,,,2.4458472778144027,2.4659757608065096,6.674396538488171
Kepler-199,b,2014,295.559419,40.236271,0.0008611661612326294,2455005.64846,0.0011,-0.0011,1,0.2064,2,0,1,Kepler,,,,,,,,0.97,0.17,-0.17,5644.0,117.0,-117.0,13.595,12.449000000000002,12.100999999999999,0.158,,,0.27699999999999997,0.05,-0.05,0.031,,,674.337989167179,23.637604,5e-05,-5e-05,,,,1.8088413190098376,3.104887662470014,9.852680604434918
Kepler-199,c,2014,295.559419,40.236271,0.0009438944096712344,2454979.56577,0.0016699999999999998,-0.0016699999999999998,1,0.2888,2,0,1,Kepler,,,,,,,,0.97,0.17,-0.17,5644.0,117.0,-117.0,13.595,12.449000000000002,12.100999999999999,0.316,,,0.29,0.052000000000000005,-0.052000000000000005,0.0334,,,476.8289649518128,67.093408,0.00019,-0.00019,,,,1.6983631430117863,3.2506044119722173,10.615468780262137
Kepler-200,c,2014,284.40992,41.237465,0.0002409860305856524,2454968.8905599997,0.00297,-0.00297,1,0.0463,2,0,1,Kepler,,,,,,,,0.94,0.16,-0.16,5678.0,100.0,-100.0,13.984000000000002,12.870999999999999,12.58,0.09,,,0.142,0.026000000000000002,-0.026000000000000002,0.00993,,,884.8534695047272,10.222157,5.3e-05,-5.3e-05,,,,4.300929251610402,1.5916752637932925,3.1560360774851204
Kepler-201,b,2014,293.62604,41.272827,0.00033477182008104505,2455025.09705,0.0016899999999999999,-0.0016899999999999999,1,0.2345,2,0,1,Kepler,,,,,,,,1.23,0.24,-0.24,6065.0,117.0,-117.0,13.004000000000001,12.037,11.784,0.175,,,0.21899999999999997,0.043,-0.043,0.0208,,,775.3497200274206,25.672083,7.5e-05,-7.5e-05,,,,2.455890921877621,2.4547667800755706,6.610830857169235
Kepler-201,c,2014,293.62604,41.272827,0.00045032711462122786,2455009.41816,0.007940000000000001,-0.007940000000000001,1,0.5412,2,0,1,Kepler,,,,,,,,1.23,0.24,-0.24,6065.0,117.0,-117.0,13.004000000000001,12.037,11.784,0.573,,,0.254,0.054000000000000006,-0.054000000000000006,0.0267,,,428.48867480244184,151.884058,0.002014,-0.002014,,,,2.020636505426241,2.847081105658425,8.486018456077817
Kepler-203,b,2014,297.089977,41.388039,0.00044946501558323617,2455002.64158,0.00073,-0.00073,1,0.0792,3,0,1,Kepler,,,,,,,,1.11,0.21,-0.21,5821.0,100.0,-100.0,13.989,12.859000000000002,12.47,0.043,,,0.22899999999999998,0.046,-0.046,0.0224,,,1426.1268572155757,3.162697,4e-06,-4e-06,,,,2.313234466985158,2.5668565873849576,7.119356307720715
Kepler-203,c,2014,297.089977,41.388039,0.00041483012822464557,2455005.23697,0.00091,-0.00091,1,0.0839,3,0,1,Kepler,,,,,,,,1.11,0.21,-0.21,5821.0,100.0,-100.0,13.989,12.859000000000002,12.47,0.061,,,0.22,0.042,-0.042,2.36,1.319,-1.085,1197.3675083519727,5.370647,8e-06,-8e-06,,,,274.86664645914243,2.4659757608065096,750.0750395634325
Kepler-203,d,2014,297.089977,41.388039,0.00014042514092629324,2454966.96882,0.00445,-0.00445,1,0.1663,3,0,1,Kepler,,,,,,,,1.11,0.21,-0.21,5821.0,100.0,-100.0,13.989,12.859000000000002,12.47,0.1,,,0.128,0.025,-0.025,0.107,0.577,-0.104,935.1739194047154,11.32972,8e-05,-8e-05,,,,63.27497060221605,1.4347495335601512,34.0076395056302
Kepler-204,c,2014,285.347187,41.761925,0.00017581967853237785,2454988.15165,0.006790000000000001,-0.006790000000000001,1,0.1826,2,0,1,Kepler,,,,,,,,1.24,0.26,-0.26,5812.0,100.0,-100.0,13.909,12.845999999999998,12.485999999999999,0.173,,,0.16,0.035,-0.035,0.0121,,,750.3202964955663,25.660593,0.000288,-0.000288,,,,3.663561662381765,1.793436916950189,3.845723719795565
Kepler-205,b,2014,285.287111,41.861171999999996,0.0006362283903396147,2455003.84454,0.00045999999999999996,-0.00045999999999999996,1,0.0812,2,0,1,Kepler,,,,,,,,0.55,0.02,-0.02,4321.0,100.0,-100.0,13.505999999999998,11.607999999999999,10.962,0.032,,,0.135,0.012,-0.012,0.00909,,,672.0,2.75564,2e-06,-2e-06,,,,4.581847824993478,1.513212398676722,2.889060215945594
Kepler-5,b,2009,299.40700899999996,44.035046,0.0067019915470607335,2454955.90144,2e-05,-2e-05,1,,1,0,1,Kepler,89.14,0.44,-0.32,,1.37,0.04,-0.06,1.79,0.04,-0.06,6297.0,60.0,-60.0,13.369000000000002,12.115,11.863,0.0538,0.0015,-0.0021,1.426,0.036000000000000004,-0.051,2.111,0.067,-0.086,1750.0,3.5484657,7e-07,-7e-07,0.024,,,0.9028336552859738,15.984006522318557,670.9357663213585
Kepler-6,b,2009,296.83725400000003,48.239964,0.00929386733690514,2454954.486528,9e-06,-1.2e-05,1,,1,0,1,Kepler,88.93,0.19,-0.17,,1.21,0.04,-0.04,1.39,0.02,-0.03,5647.0,44.0,-44.0,13.302999999999999,12.001,11.706,0.04852,0.00074,-0.00133,1.304,0.018000000000000002,-0.033,0.668,0.038,-0.035,1460.0,3.2346996,4e-07,-4e-07,0.0,,,0.3736128213608635,14.61651087314404,212.30937560524276
Kepler-7,b,2009,288.581516,41.0898,0.007158798428677516,2454967.27687,2.9999999999999997e-05,-2e-05,1,,1,0,1,Kepler,85.161,0.055,-0.054000000000000006,,1.36,0.03,-0.03,1.97,0.01,-0.01,5933.0,44.0,-44.0,12.885,11.833,11.600999999999999,0.06067,0.00059,-0.00059,1.6219999999999999,0.013000000000000001,-0.013000000000000001,0.441,0.043,-0.042,1630.0,4.8854892,9e-07,-9e-07,0.0,,,0.12816343040305272,18.180966745582538,140.16232730825158
Kepler-9,b,2010,285.573981,38.400892,0.007196059177405244,2455073.43381,0.0005200000000000001,-0.0005200000000000001,1,0.15927,3,0,1,Kepler,,,,,1.07,0.05,-0.05,1.02,0.05,-0.05,5777.0,61.0,-61.0,13.802999999999999,12.71,12.390999999999998,0.14,0.001,-0.001,0.8420000000000001,0.069,-0.069,0.252,0.013,-0.013,751.9201676197741,19.24,,,0.15,,,0.523530935879951,9.43796177545037,80.09275846185805
Kepler-9,c,2010,285.573981,38.400892,0.006874960599653458,2455164.18301,0.00074,-0.00074,1,0.17121,3,0,1,Kepler,,,,,1.07,0.05,-0.05,1.02,0.05,-0.05,5777.0,61.0,-61.0,13.802999999999999,12.71,12.390999999999998,0.225,0.001,-0.001,0.823,0.067,-0.067,0.171,0.013,-0.013,593.1226269546961,38.91,,,0.13,,,0.3804299393835192,9.224991141562533,54.34865752768939
Kepler-9,d,2010,285.573981,38.400892,0.00021635964227460083,2455015.0943,0.0018,-0.0033,1,0.0821,3,0,1,Kepler,,,,,1.07,0.05,-0.05,1.02,0.05,-0.05,5777.0,61.0,-61.0,13.802999999999999,12.71,12.390999999999998,0.0273,0.00042,-0.00043,0.146,0.017,-0.012,0.0105,,,2026.0,1.592851,4.5e-05,-4.5e-05,,,,4.184165122309528,1.6365111867170472,3.3371982692440856
